name,final,return_pct,maxdd,trades,exits,win_rate,profit_exits,hard_stops,trail_stops,sma_exits,in_position_end
p10% hard5.0% trail12% rsi70,864.6700588281304,-0.13532994117186958,-0.3065010606523858,25,12,0.25,3,7,2,0,True
p8% hard5.0% trail10% rsi60,864.5680363445147,-0.13543196365548538,-0.2441535533463799,23,11,0.2727272727272727,3,6,2,0,True
p10% hard5.0% trail10% rsi70,864.4167557164124,-0.1355832442835877,-0.3067042195770143,27,13,0.23076923076923078,3,7,3,0,True
LIVE + SMA20 above SMA50,861.7944768467951,-0.1382055231532049,-0.16209160320525962,12,6,0.3333333333333333,2,3,1,0,False
LIVE + ADX18 and SMA20 above SMA50,861.7944768467951,-0.1382055231532049,-0.16209160320525962,12,6,0.3333333333333333,2,3,1,0,False
p8% hard7.5% trail10% rsi70,861.5345398511125,-0.1384654601488875,-0.3144673054057152,27,13,0.38461538461538464,4,2,7,0,True
p8% hard7.5% trail10% rsiNone,861.5345398511125,-0.1384654601488875,-0.3144673054057152,27,13,0.38461538461538464,4,2,7,0,True
p8% hard10.0% trail10% rsi70,861.0664039686025,-0.13893359603139754,-0.31483980637709674,27,13,0.38461538461538464,4,1,8,0,True
p8% hard10.0% trail10% rsiNone,861.0664039686025,-0.13893359603139754,-0.31483980637709674,27,13,0.38461538461538464,4,1,8,0,True
p10% hard7.5% trail8% rsi65,860.3514664325469,-0.1396485335674531,-0.25471802249696185,25,12,0.25,2,1,9,0,True
p10% hard10.0% trail8% rsi65,860.3514664325469,-0.1396485335674531,-0.25471802249696185,25,12,0.25,2,0,10,0,True
p12% hard10.0% trail12% rsi70,860.2271937103819,-0.13977280628961808,-0.35947510470281163,21,10,0.3,3,4,3,0,True
p12% hard7.5% trail8% rsi55,859.5991729760177,-0.14040082702398227,-0.252288852429872,15,7,0.14285714285714285,1,1,5,0,True
p12% hard10.0% trail8% rsi55,859.5991729760177,-0.14040082702398227,-0.252288852429872,15,7,0.14285714285714285,1,0,6,0,True
p10% hard10.0% trail12% rsi60,859.1046258518988,-0.14089537414810116,-0.2663517674510394,17,8,0.375,3,3,2,0,True
p12% hard7.5% trail10% rsi65,859.0713311104012,-0.14092866888959887,-0.28604409049062907,21,10,0.3,1,3,6,0,True
p12% hard10.0% trail10% rsi65,858.1875909624009,-0.14181240903759906,-0.28643203591163224,21,10,0.3,1,0,9,0,True
p6% hard7.5% trail15% rsi70,858.0179109312979,-0.14198208906870202,-0.3184942152820477,25,12,0.5,6,6,0,0,True
p6% hard7.5% trail15% rsiNone,858.0179109312979,-0.14198208906870202,-0.3184942152820477,25,12,0.5,6,6,0,0,True
p12% hard5.0% trail10% rsi60,857.4346237715913,-0.1425653762284087,-0.2680675963856789,19,9,0.2222222222222222,1,4,4,0,True
p8% hard5.0% trail12% rsi60,856.5031328940916,-0.14349686710590848,-0.24415355334638,21,10,0.3,3,7,0,0,True
p8% hard5.0% trail15% rsi60,856.5031328940916,-0.14349686710590848,-0.24415355334638,21,10,0.3,3,7,0,0,True
p12% hard10.0% trail12% rsiNone,854.0150625532644,-0.14598493744673557,-0.35923249969470605,21,10,0.3,3,4,3,0,True
p8% hard10.0% trail12% rsi60,853.8599426712668,-0.14614005732873314,-0.2675769855472634,17,8,0.375,3,3,2,0,True
p8% hard10.0% trail12% rsi55,853.1652557470138,-0.14683474425298615,-0.27163212048987184,11,5,0.4,2,3,0,0,True
p8% hard10.0% trail15% rsi55,853.1652557470138,-0.14683474425298615,-0.27163212048987184,11,5,0.4,2,3,0,0,True
p12% hard5.0% trail15% rsi70,852.5606207907782,-0.1474393792092218,-0.3545189304726404,21,10,0.2,2,8,0,0,True
reentry drop5% timeout3,851.829674943062,-0.14817032505693806,-0.31022536416015944,19,9,0.3333333333333333,3,5,1,0,True
LIVE + QQQ above EMA21 entry,850.3035838350022,-0.14969641616499785,-0.27921886045488564,13,6,0.3333333333333333,2,3,1,0,True
p8% hard7.5% trail15% rsi60,848.8824286262554,-0.1511175713737446,-0.2878343073840963,17,8,0.375,3,4,1,0,True
p8% hard7.5% trail12% rsi70,848.0509916109819,-0.15194900838901815,-0.3120529851085687,23,11,0.36363636363636365,4,4,3,0,True
p8% hard7.5% trail12% rsiNone,848.0509916109819,-0.15194900838901815,-0.3120529851085687,23,11,0.36363636363636365,4,4,3,0,True
LIVE + VIX <= 20 entry,845.739480988723,-0.15426051901127702,-0.2900316011160343,17,8,0.375,3,4,1,0,True
