name,profit,hard_stop,trail,reentry_drop,timeout_days,rsi_max,recent_final,recent_return,recent_maxdd,recent_win_rate,recent_trades,full_multiple,full_cagr,full_maxdd,full_win_rate,full_trades,qqq_adx_min,require_qqq_ema21,max_early_score,vix_max,score
p15% h7.5% tr15% rsi70,0.15,0.075,0.15,0.03,3,70.0,881.0012047191746,-0.11899879528082546,-0.40856040601817745,0.2857142857142857,15,136.09890027682235,0.36704339025410304,-0.48091978601177987,0.5,317,,,,,0.028379937127354135
p15% h7.5% tr15% rsiNone,0.15,0.075,0.15,0.03,3,,881.0012047191746,-0.11899879528082546,-0.40856040601817745,0.2857142857142857,15,84.21354844847835,0.3259180523039691,-0.4741640441865347,0.4875,321,,,,,-0.01759259750018402
p15% h10.0% tr12% rsi60,0.15,0.1,0.12,0.03,3,60.0,815.0229261534664,-0.1849770738465336,-0.3430209911008887,0.14285714285714285,15,37.90632635840279,0.26025149358483746,-0.5148566678345062,0.460431654676259,279,,,,,-0.18315592200125527
p15% h10.0% tr12% rsi70,0.15,0.1,0.12,0.03,3,70.0,902.6464846012508,-0.09735351539874926,-0.3870178588481792,0.25,17,112.94550837401337,0.35091799783330013,-0.5090663018532492,0.487012987012987,309,,,,,0.05978931523580666
p15% h10.0% tr12% rsiNone,0.15,0.1,0.12,0.03,3,,902.6464846012508,-0.09735351539874926,-0.3870178588481792,0.25,17,90.83905171941753,0.3323232081394649,-0.5075109783843165,0.4716981132075472,319,,,,,0.038253229337670766
p15% h10.0% tr15% rsi60,0.15,0.1,0.15,0.03,3,60.0,791.4468325688151,-0.2085531674311849,-0.3620253627571042,0.16666666666666666,13,41.604885723517704,0.2677395713602553,-0.5183384179473884,0.5317460317460317,253,,,,,-0.24206766255271306
p15% h10.0% tr15% rsi70,0.15,0.1,0.15,0.03,3,70.0,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,193.68402544924422,0.39808403760737376,-0.437238311840737,0.5460992907801419,283,,,,,0.06970898004656606
p15% h10.0% tr15% rsiNone,0.15,0.1,0.15,0.03,3,,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,125.40087529937269,0.35994050707155356,-0.37261393512462704,0.5416666666666666,289,,,,,0.05624893176163681
CURRENT ADX15,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,69.4330480466409,0.3097345579477371,-0.3473183443265061,0.5989304812834224,375,15.0,,,,-0.0025832431940467694
CURRENT ADX15 EMA21,0.08,0.075,0.12,0.03,3,60.0,844.3893681361606,-0.1556106318638395,-0.27921886045488564,0.3333333333333333,13,22.812873270064923,0.2201809995247901,-0.31542086157077875,0.6165413533834586,267,15.0,True,,,-0.008987597130057104
CURRENT ADX15 early<=2,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,27.353768258701397,0.23435720660119785,-0.41523445159371086,0.5882352941176471,341,15.0,,2.0,,-0.12699411844349623
p10% h7.5% tr12% rsi60 ADX15,0.1,0.075,0.12,0.03,3,60.0,773.5565245395991,-0.2264434754604009,-0.3292202340417175,0.3,21,54.461129865091934,0.2896485293289288,-0.4595863951577631,0.5406976744186046,345,15.0,,,,-0.18937638893853748
p12% h7.5% tr15% rsi60 ADX15,0.12,0.075,0.15,0.03,3,60.0,774.3706836220035,-0.22562931637799644,-0.3757902165432877,0.16666666666666666,13,70.95105418326361,0.3115382525777415,-0.47861506168433576,0.5496688741721855,303,15.0,,,,-0.21756471864000987
p15% h10.0% tr15% rsi70 ADX15,0.15,0.1,0.15,0.03,3,70.0,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,123.56538194060727,0.35866511208314145,-0.437238311840737,0.539568345323741,279,15.0,,,,0.022406269417487273
p15% h10.0% tr15% rsiNone ADX15,0.15,0.1,0.15,0.03,3,,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,110.94976900707132,0.3493863412797391,-0.37261393512462715,0.5422535211267606,285,15.0,,,,0.04358393281145941
p8% h10.0% tr15% rsiNone ADX15,0.08,0.1,0.15,0.03,3,,765.4059434042756,-0.2345940565957244,-0.39593245849472536,0.4,21,71.745368502055,0.3124677044831936,-0.4416582393357352,0.6666666666666666,409,15.0,,,,-0.23604268756606067
CURRENT ADX18,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,83.53258796733982,0.32523321942988215,-0.3746735692217078,0.6065573770491803,367,18.0,,,,0.0023375381369264633
CURRENT ADX18 EMA21,0.08,0.075,0.12,0.03,3,60.0,844.3893681361606,-0.1556106318638395,-0.27921886045488564,0.3333333333333333,13,16.101703233451204,0.19342781409716925,-0.3542143140267603,0.609375,257,18.0,True,,,-0.06048814587119289
CURRENT ADX18 early<=2,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,24.71590461321064,0.22641779764791048,-0.4303853727217104,0.5878787878787879,331,18.0,,2.0,,-0.14409686975144081
p10% h7.5% tr12% rsi60 ADX18,0.1,0.075,0.12,0.03,3,60.0,773.5565245395991,-0.2264434754604009,-0.3292202340417175,0.3,21,51.79581971446606,0.2855373344721073,-0.49350872189137085,0.5443786982248521,339,18.0,,,,-0.21127098613352718
p12% h7.5% tr15% rsi60 ADX18,0.12,0.075,0.15,0.03,3,60.0,774.3706836220035,-0.22562931637799644,-0.3757902165432877,0.16666666666666666,13,48.213464970023686,0.2796878553711104,-0.4480279240403936,0.54421768707483,295,18.0,,,,-0.2404916264659961
p15% h10.0% tr15% rsi70 ADX18,0.15,0.1,0.15,0.03,3,70.0,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,104.56049078969578,0.3443031495793376,-0.437238311840737,0.5333333333333333,271,18.0,,,,0.005171914412922675
p15% h10.0% tr15% rsiNone ADX18,0.15,0.1,0.15,0.03,3,,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,110.48908323809977,0.3490291188274197,-0.3726139351246268,0.5390070921985816,283,18.0,,,,0.0431552658686763
p8% h10.0% tr15% rsiNone ADX18,0.08,0.1,0.15,0.03,3,,765.4059434042756,-0.2345940565957244,-0.39593245849472536,0.4,21,76.2854037531103,0.31760209028233644,-0.3881831135851772,0.6666666666666666,403,18.0,,,,-0.20314386173181026
CURRENT ADX20,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,86.18245911724445,0.3278693804728625,-0.37467356922170825,0.6145251396648045,359,20.0,,,,0.005500931388502682
CURRENT ADX20 EMA21,0.08,0.075,0.12,0.03,3,60.0,844.3893681361606,-0.1556106318638395,-0.27921886045488564,0.3333333333333333,13,18.598260811477736,0.20442448733284957,-0.32187071319023497,0.6190476190476191,253,20.0,True,,,-0.031120337570113843
CURRENT ADX20 early<=2,0.08,0.075,0.12,0.03,3,60.0,805.8532024408626,-0.19414679755913744,-0.28725770385795213,0.3333333333333333,19,29.2343606121481,0.2395907705921645,-0.4303853727217105,0.6024844720496895,323,20.0,,2.0,,-0.12828930221833607
p10% h7.5% tr12% rsi60 ADX20,0.1,0.075,0.12,0.03,3,60.0,773.5565245395991,-0.2264434754604009,-0.3292202340417175,0.3,21,48.65873921035027,0.2804366640292253,-0.48565332188962307,0.5487804878048781,329,20.0,,,,-0.21346409066411168
p12% h7.5% tr15% rsi60 ADX20,0.12,0.075,0.15,0.03,3,60.0,774.3706836220035,-0.22562931637799644,-0.3757902165432877,0.16666666666666666,13,78.37530410999618,0.3198700645907717,-0.44802792404039327,0.5555555555555556,289,20.0,,,,-0.19227297540240235
p15% h10.0% tr15% rsi70 ADX20,0.15,0.1,0.15,0.03,3,70.0,871.817567558325,-0.12818243244167504,-0.40795360268671266,0.2857142857142857,15,144.77350947971757,0.37242886084091364,-0.437238311840737,0.5454545454545454,265,20.0,,,,0.038922767926813914
